row_num,count,mean,sd
0,3.0,0.13636363636363635,0.3431742925123068
1,6.0,0.25,0.4330127018922193
2,7.0,0.28,0.44899888641287294
3,13.0,0.3333333333333333,0.47140452079103173
4,4.0,0.2222222222222222,0.41573970964154905
5,4.0,0.21052631578947367,0.40768245749551757
6,8.0,0.27586206896551724,0.44694763437295587
7,2.0,0.125,0.33071891388307384
8,2.0,0.11764705882352941,0.32218973970892123
9,8.0,0.2857142857142857,0.45175395145262565
10,0.0,0.0,0.0
11,5.0,0.23809523809523808,0.4259177099999599
12,1.0,0.05555555555555555,0.2290614236454256
13,9.0,0.32142857142857145,0.4670248868079293
14,1.0,0.08333333333333333,0.2763853991962833
15,11.0,0.2972972972972973,0.457068500683453
16,17.0,0.4473684210526316,0.5937112722462357
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,8.0,0.25,0.4330127018922193
20,2.0,0.11764705882352941,0.32218973970892123
21,9.0,0.3333333333333333,0.5443310539518174
22,6.0,0.24,0.4270831300812524
23,4.0,0.2,0.4
24,5.0,0.21739130434782608,0.4124709991523973
25,2.0,0.11764705882352941,0.32218973970892123
26,4.0,0.21052631578947367,0.40768245749551757
27,5.0,0.2,0.4
28,2.0,0.14285714285714285,0.3499271061118826
29,5.0,0.25,0.4330127018922193
